id,n_design,n_reference,truth,unet_n,unet_verdict,deeplabv3plus_n,deeplabv3plus_verdict,hrnet_n,hrnet_verdict,segformer_n,segformer_verdict
0,8,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL
1,10,9,BRIDGE,8,BRIDGE,9,BRIDGE,9,BRIDGE,9,BRIDGE
2,9,8,BRIDGE,8,BRIDGE,8,BRIDGE,9,NOMINAL,10,OPEN
3,6,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL,6,NOMINAL
4,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL
5,8,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL
6,10,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL,10,NOMINAL
7,8,7,BRIDGE,8,NOMINAL,8,NOMINAL,9,OPEN,8,NOMINAL
8,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
9,1,1,NOMINAL,1,NOMINAL,1,NOMINAL,1,NOMINAL,3,OPEN
10,1,1,NOMINAL,1,NOMINAL,1,NOMINAL,1,NOMINAL,3,OPEN
11,8,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL
12,6,7,OPEN,7,OPEN,7,OPEN,7,OPEN,7,OPEN
13,5,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL
14,1,1,NOMINAL,1,NOMINAL,1,NOMINAL,1,NOMINAL,4,OPEN
15,5,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL,5,NOMINAL
16,1,1,NOMINAL,1,NOMINAL,1,NOMINAL,1,NOMINAL,3,OPEN
17,12,12,NOMINAL,14,OPEN,13,OPEN,13,OPEN,13,OPEN
18,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,15,OPEN,12,NOMINAL
19,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
20,12,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL,12,NOMINAL
22,8,7,BRIDGE,8,NOMINAL,8,NOMINAL,8,NOMINAL,8,NOMINAL
23,7,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL,7,NOMINAL
