split,name,pred_foreground_ratio,pred_component_count,pred_profile_count,pred_profile_total_length,pred_cd_mean,pred_cd_std,pred_lwr_3sigma,pred_ler_low_3sigma,pred_ler_high_3sigma,pred_ler_mean_3sigma,pred_edge_psd_hf_ratio_1d,pred_necking_score,pred_bulging_score,disagreement,fg_dev,cc_dev,label
in_dist,00000006,0.40981674,7.0,7.0,2968.0,36.194407,1.0605015,3.1815046,2.1663532,2.0227633,2.0945582,0.044049886,0.84667802,0.22657581,0.017713028003772835,0.003974909999999998,1.0,False
in_dist,00000016,0.62646103,8.0,8.0,4096.0,40.093506,0.89673058,2.6901917,2.1622349,2.1641029,2.1631689,0.038550228,0.071327026,0.079956833,0.007486111520018102,3.051999999992283e-05,0.0,False
in_dist,00000018,0.32537079,4.0,4.0,2048.0,41.647461,0.9660902,2.8982706,1.9298285,2.0767379,2.0032832,0.043572958,0.092833497,0.05844766,0.005683917193639254,0.0001907299999999723,0.0,False
in_dist,00000019,0.57096481,9.0,9.0,4155.0,36.021179,0.89555022,2.6866507,2.0001189,1.8265111,1.913315,0.039848108,0.8190184,0.44785276,0.00828155543792164,0.000770570000000026,0.0,True
in_dist,00000025,0.38262558,12.0,12.0,1595.0,62.885893,6.4482067,19.34462,8.8308987,8.9665979,8.8987483,0.012413146,0.97622872,0.41247485,0.007805898939432621,0.0004959100000000438,0.0,False
in_dist,00000026,0.45279694,7.0,7.0,2935.0,40.442249,2.336616,7.0098479,6.5383708,7.544202,7.0412864,0.016220315,0.94774684,0.20182278,0.00761733816992427,0.0002517699999999845,0.0,False
in_dist,00000066,0.28494644,5.0,5.0,2560.0,29.178516,0.85978313,2.5793494,1.6433629,1.612941,1.628152,0.034637057,0.22272826,0.22142702,0.008185100251931421,0.0001716599999999624,0.0,True
in_dist,00000073,0.58519745,9.0,9.0,4608.0,33.291233,0.8571004,2.5713012,1.7514889,1.8312923,1.7913906,0.035181355,0.3145917,0.25658188,0.007650748936029017,0.00018691999999997932,0.0,True
in_dist,00000084,0.2887001,5.0,5.0,2072.0,36.525579,2.5802968,7.7408903,4.1591821,3.6096697,3.8844259,0.029445838,0.89527218,0.24453087,0.007377861302221955,0.00022888000000004238,0.0,False
in_dist,00000085,0.28064346,4.0,4.0,917.0,81.372955,22.055366,66.166097,33.70711,7.3553379,20.531224,0.014364496,0.95418909,0.55513809,0.22687963635056418,0.028846739999999982,0.0,True
in_dist,00000094,0.58224487,9.0,9.0,4598.0,33.192692,0.82606688,2.4782006,1.7875467,1.7236559,1.7556013,0.043934838,0.73854167,0.30729167,0.01019510011537117,0.0008125300000000335,0.0,False
in_dist,00000097,1.0,1.0,0.0,0.0,,,,,,,,,,0.5363794962565105,0.60913467,0.0,False
in_dist,00000099,0.25638199,4.0,4.0,1589.0,42.296413,1.3422187,4.0266561,2.3680737,2.5563476,2.4622107,0.04143996,0.8667002,0.17303823,0.007164894891151796,0.0004119900000000287,0.0,False
in_dist,00000103,0.62733078,8.0,8.0,4096.0,40.14917,0.86485716,2.5945715,2.0133971,2.0187555,2.0160763,0.03975821,0.073597731,0.084745763,0.006062519405666045,0.0005493200000000753,0.0,False
in_dist,00000107,0.54073715,7.0,7.0,3584.0,39.55106,0.88943254,2.6682976,1.926231,1.9296897,1.9279604,0.046427294,0.085714286,0.077408688,0.006741788069818955,0.0003242500000000259,0.0,False
