name,group,mode,pred_fg_minus_gt,spurious_components,cd_mae
9,worst10,resize512,0.3261709213256836,2,96.46652575387466
9,worst10,tile512,0.3482685089111328,3,187.03466660711797
10,worst10,resize512,0.31066036224365234,3,79.33207677138302
10,worst10,tile512,0.3202934265136719,4,160.14098598211928
16,worst10,resize512,0.23686790466308594,2,60.503233403110045
16,worst10,tile512,0.3335762023925781,4,227.84088861196318
14,worst10,resize512,0.24161720275878906,4,59.15814711493988
14,worst10,tile512,0.3243265151977539,5,56.72470779364798
2,worst10,resize512,0.008696556091308594,3,14.77332578515184
2,worst10,tile512,0.11677169799804688,11,2.2967425806479014
7,worst10,resize512,0.0078067779541015625,5,11.815196374585966
7,worst10,tile512,0.1666698455810547,6,18.0013376153381
1,worst10,resize512,0.007045745849609375,4,8.652118191284245
1,worst10,tile512,0.20776939392089844,4,13.61179505712947
22,worst10,resize512,0.023563385009765625,1,6.733677455357139
22,worst10,tile512,-0.02014923095703125,1,12.106846400669639
33,worst10,resize512,-0.0025930404663085938,2,3.9904598721726785
33,worst10,tile512,0.03470611572265625,4,0.7775219788694301
51,worst10,resize512,-0.010691642761230469,4,3.2878258504412656
51,worst10,tile512,-0.046611785888671875,4,2.203445988788502
34,best5,resize512,-0.0012884140014648438,2,0.1323668338075521
34,best5,tile512,-0.051461219787597656,0,4.875862170179346
71,best5,resize512,-0.0019063949584960938,0,0.08635498567595334
71,best5,tile512,-0.051779747009277344,0,4.971113337101727
66,best5,resize512,-0.001155853271484375,0,0.08691267054466323
66,best5,tile512,-0.03384685516357422,1,4.231105189648673
70,best5,resize512,-0.0006513595581054688,0,0.06071128935306547
70,best5,tile512,0.04651069641113281,9,7.924623527096784
36,best5,resize512,-0.0008087158203125,4,0.07747989276138867
36,best5,tile512,-0.04766273498535156,0,4.3185338127729125
